"intersection","taxon","methods"
"I2","02d06","LinDA"
"I26","Acidaminococcus","LinDA | corncob | metagenomeSeq"
"I81","Acinetobacter","MaAsLin3 prevalence | MaAsLin3 abundance | MaAsLin3 combined | ZINQ prevalence | ZINQ abundance | ZINQ combined | ANCOM-BC2 | LinDA | DESeq2 | metagenomeSeq"
"I13","Actinobacillus","MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I63","Actinomyces","DASRA structural absence | DASRA combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | edgeR | DESeq2 | metagenomeSeq"
"I61","Adlercreutzia","DASRA structural absence | DASRA combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | metagenomeSeq"
"I49","Aggregatibacter","DASRA present-conditional abundance | DASRA combined | MaAsLin3 prevalence | MaAsLin3 abundance | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | edgeR | metagenomeSeq"
"I2","Akkermansia","LinDA"
"I2","Alistipes","LinDA"
"I1","Alkalimonas","metagenomeSeq"
"I14","Allofustis","MaAsLin3 prevalence | ZINQ prevalence | ZINQ combined | corncob | metagenomeSeq"
"I1","Anaerococcus","metagenomeSeq"
"I51","Anaerostipes","DASRA present-conditional abundance | DASRA combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ abundance | ZINQ combined | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I66","Atopobium","DASRA structural absence | DASRA combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | edgeR | DESeq2 | metagenomeSeq"
"I5","Bacillus","MaAsLin3 prevalence | ZINQ prevalence | ZINQ combined | metagenomeSeq"
"I6","Bacteroides","edgeR"
"I77","Bifidobacterium","MaAsLin3 abundance | MaAsLin3 combined | ZINQ abundance | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I2","Bilophila","LinDA"
"I18","Blautia","DASRA present-conditional abundance | DASRA combined | MaAsLin3 abundance | MaAsLin3 combined | ZINQ abundance | ZINQ combined | ANCOM-BC2 | LinDA | corncob | metagenomeSeq"
"I7","Bulleidia","MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | corncob | DESeq2 | metagenomeSeq"
"I12","Burkholderia","MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob | DESeq2 | metagenomeSeq"
"I6","Butyricimonas","edgeR"
"I11","Campylobacter","MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | corncob | edgeR | DESeq2 | metagenomeSeq"
"I32","Candidatus Portiera","ZINQ prevalence | ZINQ combined | corncob | metagenomeSeq"
